Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry
TFSC,1347 Capital Corp.,9.9,$58.89M,2014,Finance,Business Services
TFSCR,1347 Capital Corp.,0.27,n/a,2014,Finance,Business Services
TFSCU,1347 Capital Corp.,10.05,$42.01M,2014,Finance,Business Services
TFSCW,1347 Capital Corp.,0.16,n/a,2014,Finance,Business Services
PIH,"1347 Property Insurance Holdings, Inc.",5.8,$35.49M,2014,Finance,Property-Casualty Insurers
FLWS,"1-800 FLOWERS.COM, Inc.",7.62,$498.59M,1999,Consumer Services,Other Specialty Stores
FCTY,"1st Century Bancshares, Inc",11,$113.71M,n/a,Finance,Major Banks
FCCY,1st Constitution Bancorp (NJ),12.73,$101.26M,n/a,Finance,Savings Institutions
SRCE,1st Source Corporation,33.63,$869.31M,n/a,Finance,Major Banks
VNET,"21Vianet Group, Inc.",14.98,$1.3B,2011,Technology,"Computer Software: Programming, Data Processing"
TWOU,"2U, Inc.",27.5,$1.28B,2014,Technology,Computer Software: Prepackaged Software
JOBS,"51job, Inc.",28.165,$1.67B,2004,Technology,Diversified Commercial Services
CAFD,8point3 Energy Partners LP,14.34,$1.02B,2015,Public Utilities,Electric Utilities: Central
EGHT,8x8 Inc,11.63,$1.03B,n/a,Public Utilities,Telecommunications Equipment
AVHI,"A V Homes, Inc.",11.35,$257.06M,n/a,Capital Goods,Homebuilding
SHLM,"A. Schulman, Inc.",26.01,$765.46M,1972,Basic Industries,Major Chemicals
AAON,"AAON, Inc.",27.59,$1.46B,n/a,Capital Goods,Industrial Machinery/Components
ABAX,"ABAXIS, Inc.",43.84,$992.63M,1992,Capital Goods,Industrial Machinery/Components
ABY,Abengoa Yield plc,16.41,$1.64B,2014,Public Utilities,Electric Utilities: Central
ABEO,Abeona Therapeutics Inc.,2.44,$79.89M,n/a,Health Care,Major Pharmaceuticals
ABEOW,Abeona Therapeutics Inc.,0.6374,n/a,n/a,Health Care,Major Pharmaceuticals
