,Date,Price,Signal,,,,,,,
CA,5/24/2016,31.4,BUY,,162.93,,,,,
CA,5/17/2016,31.305,SELL,,163.26,,,,,
CA,5/6/2016,29.7,BUY,,155.2,,,,,
CA,4/29/2016,29.8,SHORT,,155.3,,,,,
CA,4/13/2016,30.21,BUY,,158.07,,,,,
CA,4/4/2016,30.72,SELL,,158.39,,,,,
CA,3/17/2016,30.645,BUY,,158.32,,,,,
CA,3/15/2016,30.285,SELL,,158.64,,,,,
CA,3/9/2016,29.81,BUY,,156.46,,,,,
CA,2/29/2016,29.32,SELL,,156.77,,,,,
CA,2/25/2016,29.62,BUY,,158.69,,,,,
CA,2/23/2016,29.37,SELL,,159.01,,,,,
CA,2/17/2016,28.62,BUY,,155.26,,,,,
CA,2/11/2016,27.15,SELL,,155.57,,,,,
CA,2/4/2016,27.95,BUY,,160.48,,,,,
CA,2/2/2016,28.16,SELL,,160.8,,,,,
CA,1/27/2016,27.51,BUY,,157.4,,,,,
CA,12/31/2015,28.93,SELL,,157.72,,,,,
CA,12/23/2015,28.84,BUY,,157.54,,,,,
CA,12/8/2015,28.22,SELL,,157.86,,,,,
CA,12/4/2015,28.35,BUY,,158.91,,,,,
CA,12/2/2015,28.05,SELL,,159.23,,,,,
CA,11/11/2015,27.2,BUY,,154.71,,,,,
CA,11/5/2015,27.58,SHORT,,153.22,,,,,
CA,11/3/2015,27.78,BUY,,154.95,,,,,
CA,10/19/2015,28.72,SELL,,155.26,,,,,
CA,10/2/2015,27.54,BUY,,149.18,,,,,
CA,9/22/2015,27.34,SELL,,149.48,,,,,
CA,8/27/2015,26.93,BUY,,147.53,,,,,
CA,8/19/2015,29.34,SHORT,,136.88,,,,,
CA,8/17/2015,29.41,BUY,,137.76,,,,,
CA,8/13/2015,29.325,SHORT,,138.71,,,,,
CA,8/5/2015,29.2,BUY,,138.67,,,,,
CA,8/3/2015,29.06,SHORT,,139.9,,,,,
CA,7/29/2015,29.17,BUY,,140.99,,,,,
CA,7/17/2015,30.58,SELL,,141.27,,,,,
CA,7/1/2015,29.51,BUY,,136.6,,,,,
CA,6/25/2015,30.635,SELL,,136.87,,,,,
CA,6/10/2015,30.06,BUY,,134.57,,,,,
CA,5/20/2015,31.65,SELL,,134.84,,,,,
CA,5/13/2015,31.315,BUY,,133.68,,,,,
CA,5/8/2015,31.6,SHORT,,133.02,,,,,
CA,4/29/2015,32.19,BUY,,136.05,,,,,
CA,4/27/2015,32.11,SELL,,136.32,,,,,
CA,4/15/2015,31.31,BUY,,133.19,,,,,
CA,3/25/2015,32.825,SELL,,133.46,,,,,
CA,3/18/2015,31.9,BUY,,129.96,,,,,
CA,3/3/2015,32.6,SELL,,130.22,,,,,
CA,2/3/2015,30.61,BUY,,122.52,,,,,
CA,1/27/2015,30.35,SHORT,,124.07,,,,,
CA,1/23/2015,30.6,BUY,,125.59,,,,,
CA,1/15/2015,31.08,SELL,,125.84,,,,,
CA,1/5/2015,30.73,BUY,,124.67,,,,,
CA,12/26/2014,31.27,SELL,,124.92,,,,,
CA,12/18/2014,30.2,BUY,,120.89,,,,,
CA,12/5/2014,30.84,SELL,,121.13,,,,,
CA,11/24/2014,30.635,BUY,,120.57,,,,,
CA,11/11/2014,29.84,SELL,,120.81,,,,,
CA,10/16/2014,25.785,BUY,,104.6,,,,,
CA,9/29/2014,27.67,SHORT,,98.32,,,,,
CA,9/17/2014,28.58,BUY,,101.96,,,,,
CA,9/12/2014,28.675,SELL,,102.16,,,,,
CA,9/2/2014,28.27,BUY,,100.92,,,,,
CA,8/7/2014,28.44,SHORT,,100.72,,,,,
CA,7/17/2014,28.31,BUY,,100.66,,,,,
CA,7/8/2014,29.05,SELL,,100.86,,,,,
CA,7/1/2014,28.87,BUY,,100.44,,,,,
CA,6/19/2014,28.975,SELL,,100.64,,,,,
CA,6/17/2014,28.97,BUY,,100.82,,,,,
CA,6/10/2014,28.92,SHORT,,101.4,,,,,
CA,6/5/2014,28.35,BUY,,99.8,,,,,
,,,,,,,,,,
CAAS,5/27/2016,3.8841,BUY,,348.38,,,,,
CAAS,5/19/2016,3.995,SHORT,,340.33,,,,,
CAAS,5/16/2016,3.9289,BUY,,336.04,,,,,
CAAS,4/29/2016,4.395,SHORT,,305.04,,,,,
CAAS,4/27/2016,4.405,BUY,,306.96,,,,,
CAAS,4/18/2016,4.5451,SELL,,307.58,,,,,
CAAS,4/13/2016,4.4649,BUY,,302.76,,,,,
CAAS,4/4/2016,4.5901,SELL,,303.37,,,,,
CAAS,3/28/2016,4.1199,BUY,,272.84,,,,,
CAAS,3/21/2016,4.13,SHORT,,273.27,,,,,
CAAS,3/17/2016,4.18,BUY,,277.69,,,,,
CAAS,2/24/2016,4.2745,SELL,,278.25,,,,,
CAAS,2/19/2016,4.2589,BUY,,277.79,,,,,
CAAS,1/21/2016,4.0324,SHORT,,295.5,,,,,
CAAS,1/8/2016,4.809,BUY,,353.82,,,,,
CAAS,12/30/2015,4.651,SHORT,,367.73,,,,,
CAAS,12/23/2015,4.83,BUY,,383.41,,,,,
CAAS,11/30/2015,5.94,SHORT,,324.34,,,,,
CAAS,11/24/2015,5.9599,BUY,,326.73,,,,,
CAAS,11/17/2015,6.0501,SELL,,327.38,,,,,
CAAS,10/26/2015,5.98,BUY,,324.24,,,,,
CAAS,10/15/2015,5.8,SELL,,324.89,,,,,
CAAS,10/8/2015,5.58,BUY,,313.19,,,,,
CAAS,10/5/2015,5.4651,SHORT,,321.2,,,,,
CAAS,9/30/2015,5.3249,BUY,,314.22,,,,,
CAAS,8/31/2015,6.45,SHORT,,268.62,,,,,
CAAS,8/27/2015,6.01,BUY,,251.3,,,,,
CAAS,8/14/2015,6.85,SHORT,,224.75,,,,,
CAAS,8/6/2015,6.77,BUY,,223.02,,,,,
CAAS,7/31/2015,6.99,SHORT,,217.08,,,,,
CAAS,7/29/2015,7.15,BUY,,222.94,,,,,
CAAS,7/16/2015,7.5901,SHORT,,211.57,,,,,
CAAS,7/10/2015,7.51,BUY,,210.18,,,,,
CAAS,6/29/2015,8.59,SELL,,210.6,,,,,
CAAS,6/1/2015,7.7883,BUY,,191.33,,,,,
CAAS,5/26/2015,7.74,SELL,,191.71,,,,,
CAAS,5/11/2015,7.0825,BUY,,175.78,,,,,
CAAS,5/1/2015,7.265,SELL,,176.13,,,,,
CAAS,4/28/2015,7.415,BUY,,180.13,,,,,
CAAS,4/24/2015,7.19,SHORT,,186.69,,,,,
CAAS,4/20/2015,7.415,BUY,,193.3,,,,,
CAAS,4/9/2015,7.3,SELL,,193.69,,,,,
CAAS,3/23/2015,6.385,BUY,,169.75,,,,,
CAAS,3/16/2015,6.78,SELL,,170.09,,,,,
CAAS,3/9/2015,6.7,BUY,,168.42,,,,,
CAAS,2/26/2015,7.2506,SELL,,168.76,,,,,
CAAS,2/9/2015,6.188,BUY,,144.32,,,,,
CAAS,1/29/2015,6.1501,SHORT,,145.8,,,,,
CAAS,1/26/2015,6.1649,BUY,,146.74,,,,,
CAAS,12/22/2014,6.9801,SHORT,,131.92,,,,,
CAAS,12/17/2014,6.98,BUY,,132.45,,,,,
CAAS,12/15/2014,7.07,SHORT,,131.31,,,,,
CAAS,12/11/2014,7.255,BUY,,135.29,,,,,
CAAS,12/8/2014,7.59,SHORT,,130.09,,,,,
CAAS,12/3/2014,7.6349,BUY,,131.38,,,,,
CAAS,11/14/2014,9.23,SELL,,131.64,,,,,
CAAS,11/10/2014,9.3,BUY,,132.9,,,,,
CAAS,11/4/2014,9.08,SELL,,133.17,,,,,
CAAS,10/31/2014,9.17,BUY,,134.76,,,,,
CAAS,10/27/2014,9.195,SHORT,,134.93,,,,,
CAAS,10/21/2014,8.89,BUY,,130.98,,,,,
CAAS,10/15/2014,9.14,SHORT,,128,,,,,
CAAS,10/9/2014,9.02,BUY,,126.83,,,,,
CAAS,9/19/2014,10.365,SELL,,127.08,,,,,
CAAS,9/4/2014,9.53,BUY,,117.08,,,,,
CAAS,8/20/2014,9.2801,SELL,,117.31,,,,,
CAAS,8/12/2014,8.63,BUY,,109.31,,,,,
CAAS,7/24/2014,9.49,SELL,,109.53,,,,,
CAAS,7/16/2014,8.58,BUY,,99.23,,,,,
CAAS,7/10/2014,8.7,SELL,,99.43,,,,,
CAAS,6/17/2014,8.73,BUY,,99.97,,,,,
CAAS,6/12/2014,8.76,SELL,,100.17,,,,,
CAAS,6/10/2014,8.71,BUY,,99.8,,,,,
,,,,,,,,,,
CAC,5/19/2016,42.88,BUY,,139.18,,,,,
CAC,5/11/2016,42.1071,SHORT,,142.35,,,,,
CAC,5/9/2016,41.8079,BUY,,141.91,,,,,
CAC,5/5/2016,42.1001,SELL,,142.19,,,,,
CAC,4/27/2016,43.61,BUY,,147.58,,,,,
CAC,4/21/2016,43.3348,SELL,,147.88,,,,,
CAC,4/11/2016,41.75,BUY,,142.76,,,,,
CAC,4/1/2016,41.82,SELL,,143.05,,,,,
CAC,3/29/2016,41.635,BUY,,142.7,,,,,
CAC,3/23/2016,41.72,SELL,,142.99,,,,,
CAC,3/18/2016,41.08,BUY,,141.08,,,,,
CAC,3/15/2016,40.615,SELL,,141.36,,,,,
CAC,2/24/2016,38.66,BUY,,134.83,,,,,
CAC,2/17/2016,39.23,SHORT,,133.43,,,,,
CAC,2/12/2016,38.82,BUY,,132.57,,,,,
CAC,2/2/2016,41.305,SHORT,,125.55,,,,,
CAC,1/26/2016,39.78,BUY,,121.4,,,,,
