Symbol,Date,Price,Signal,Profit
AAAP,5/12/2016,33.29,SHORT,139.7
AAAP,5/10/2016,33.92,BUY,142.91
AAAP,5/2/2016,34.4702,SHORT,141.23
AAAP,4/28/2016,35.01,BUY,144.02
AAAP,4/5/2016,34.9551,SELL,144.31
AAAP,3/30/2016,34.855,BUY,144.19
AAAP,3/28/2016,34.96,SELL,144.48
AAAP,3/15/2016,33.74,BUY,139.72
AAAP,3/10/2016,34.085,SELL,140
AAAP,2/10/2016,24.25,BUY,99.8
,,,,
AAL,4/25/2016,38.12,SHORT,273.13
AAL,4/12/2016,39.12,BUY,281.42
AAL,4/1/2016,40.09,SHORT,275.87
AAL,3/29/2016,41.2466,BUY,284.97
AAL,3/23/2016,42.01,SELL,285.54
AAL,3/11/2016,41.94,BUY,285.64
AAL,3/8/2016,41.25,SELL,286.21
AAL,2/10/2016,36.6099,BUY,254.52
AAL,2/5/2016,36.99,SHORT,252.94
AAL,2/1/2016,39.04,BUY,268.03
AAL,1/15/2016,39,SHORT,269.38
AAL,1/12/2016,41.2,BUY,285.72
AAL,12/31/2015,42.49,SELL,286.29
AAL,12/22/2015,42.6069,BUY,287.65
AAL,12/18/2015,41.5631,SHORT,296.24
AAL,12/16/2015,43.0369,BUY,307.98
AAL,12/9/2015,44.25,SELL,308.6
AAL,12/1/2015,42.35,BUY,295.94
AAL,10/28/2015,45.8661,SELL,296.53
AAL,10/5/2015,39.2225,BUY,254.09
AAL,9/21/2015,43.44,SELL,254.6
AAL,8/31/2015,38.89,BUY,228.39
AAL,8/20/2015,42.175,SELL,228.85
AAL,8/11/2015,41.9,BUY,227.81
AAL,8/7/2015,42.13,SELL,228.27
AAL,8/3/2015,41.3425,BUY,224.45
AAL,7/16/2015,41.76,SELL,224.9
AAL,6/18/2015,39.92,BUY,215.42
AAL,6/16/2015,40.03,SHORT,215.69
AAL,6/12/2015,40.515,BUY,219.18
AAL,6/3/2015,43.305,SHORT,206.74
AAL,5/29/2015,42.3475,BUY,202.98
AAL,5/20/2015,47.5,SHORT,183.85
AAL,5/18/2015,48.94,BUY,190.18
AAL,5/5/2015,48.16,SHORT,194.09
AAL,5/1/2015,48.7,BUY,197.05
AAL,4/28/2015,51.64,SELL,197.44
AAL,4/20/2015,48.79,BUY,186.92
AAL,4/1/2015,51.04,SELL,187.29
AAL,3/30/2015,53.3,BUY,195.98
AAL,3/24/2015,53.93,SELL,196.37
AAL,3/12/2015,47.62,BUY,173.74
AAL,3/5/2015,48.76,SELL,174.09
AAL,3/3/2015,48.5,BUY,173.51
AAL,2/26/2015,49.68,SELL,173.86
AAL,2/13/2015,48.1,BUY,168.67
AAL,2/5/2015,49.03,SHORT,166.19
AAL,1/20/2015,51.06,BUY,173.76
AAL,1/12/2015,51,SELL,174.11
AAL,12/26/2014,51.52,BUY,176.24
AAL,12/23/2014,50.78,SELL,176.59
AAL,12/15/2014,50.59,BUY,176.28
AAL,12/9/2014,49.05,SELL,176.63
AAL,11/26/2014,44.3602,BUY,160.06
AAL,11/17/2014,43.7802,SELL,160.38
AAL,10/15/2014,31.55,BUY,115.81
AAL,10/7/2014,34.71,SHORT,106.57
AAL,10/3/2014,35.97,BUY,110.88
AAL,9/22/2014,36.77,SHORT,108.95
AAL,9/18/2014,38.02,BUY,113.11
AAL,9/12/2014,38.05,SHORT,113.47
AAL,9/10/2014,38.27,BUY,114.58
AAL,8/25/2014,39.47,SELL,114.81
AAL,8/14/2014,38.54,BUY,112.33
AAL,7/22/2014,42.4301,SHORT,103.31
AAL,7/15/2014,43.38,BUY,106.05
AAL,6/30/2014,43.95,SELL,106.26
AAL,6/26/2014,44.01,BUY,106.62
AAL,6/24/2014,43.745,SELL,106.83
AAL,6/16/2014,40.785,BUY,99.8
,,,,
AAME,5/25/2016,3.3555,BUY,128.76
AAME,4/26/2016,4.54,SELL,129.02
AAME,4/20/2016,4.42,BUY,125.86
AAME,4/8/2016,4.668,SELL,126.11
AAME,3/30/2016,4.045,BUY,109.5
AAME,3/28/2016,3.925,SELL,109.72
AAME,3/1/2016,4.1801,BUY,117.09
AAME,2/12/2016,4.3549,SELL,117.32
AAME,1/22/2016,4.252,BUY,114.78
AAME,1/4/2016,4.8585,SELL,115.01
AAME,12/29/2015,4.7558,BUY,112.8
