,Date,Price,Signal,
BABY,5/26/2016,32.8,SHORT,304.68
BABY,5/20/2016,32.79,BUY,305.81
BABY,5/11/2016,32.87,SELL,306.42
BABY,5/4/2016,31.805,BUY,297.09
BABY,4/28/2016,33.7052,SELL,297.69
BABY,4/13/2016,30.53,BUY,270.19
BABY,3/31/2016,38.9,SELL,270.73
BABY,3/28/2016,37.23,BUY,259.63
BABY,3/22/2016,38.64,SELL,260.15
BABY,3/18/2016,38.5,BUY,259.73
BABY,3/9/2016,38.21,SELL,260.25
BABY,2/19/2016,33.2749,BUY,227.09
BABY,2/2/2016,34.75,SHORT,218.72
BABY,1/26/2016,36.655,BUY,231.64
BABY,12/31/2015,48.8011,SHORT,186.22
BABY,12/28/2015,48.97,BUY,187.61
BABY,12/18/2015,49.58,SELL,187.99
BABY,12/14/2015,49.35,BUY,187.49
BABY,12/9/2015,49.03,SELL,187.87
BABY,12/4/2015,49.93,BUY,191.7
BABY,11/30/2015,48.95,SELL,192.08
BABY,11/18/2015,46.995,BUY,184.78
BABY,11/11/2015,47.78,SELL,185.15
BABY,10/16/2015,43.3,BUY,168.13
BABY,10/14/2015,39.23,SHORT,188.34
BABY,10/1/2015,39.48,BUY,190.3
BABY,9/25/2015,42.335,SELL,190.68
BABY,9/15/2015,40.79,BUY,184.09
BABY,9/11/2015,39.55,SHORT,190.81
BABY,9/8/2015,40.1599,BUY,194.53
BABY,9/2/2015,39.73,SHORT,197.45
BABY,8/28/2015,41.4,BUY,206.58
BABY,8/14/2015,44.875,SELL,206.99
BABY,8/12/2015,45.48,BUY,210.2
BABY,8/7/2015,44.89,SELL,210.62
BABY,8/5/2015,45.62,BUY,214.47
BABY,7/24/2015,46.06,SELL,214.9
BABY,7/21/2015,42.715,BUY,199.69
BABY,7/17/2015,42.79,SELL,200.09
BABY,7/10/2015,42.0525,BUY,197.04
BABY,6/29/2015,42.9601,SELL,197.43
BABY,6/16/2015,41.69,BUY,191.98
BABY,6/12/2015,42.05,SELL,192.36
BABY,5/20/2015,37.01,BUY,169.64
BABY,5/5/2015,38.48,SHORT,164.05
BABY,4/20/2015,39.91,BUY,170.83
BABY,4/7/2015,39.59,SELL,171.17
BABY,3/27/2015,38.58,BUY,167.14
BABY,3/25/2015,38.45,SELL,167.47
BABY,3/11/2015,35.259,BUY,153.88
BABY,3/9/2015,35.501,SHORT,153.45
BABY,3/5/2015,35.559,BUY,154.32
BABY,2/6/2015,36.84,SELL,154.63
BABY,1/26/2015,36.555,BUY,153.74
BABY,1/15/2015,37.11,SELL,154.05
BABY,1/8/2015,36.1199,BUY,150.24
BABY,12/23/2014,35.63,SELL,150.54
BABY,12/18/2014,36.07,BUY,152.7
BABY,12/12/2014,34.84,SELL,153.01
BABY,12/3/2014,33.99,BUY,149.58
BABY,12/1/2014,34.14,SELL,149.88
BABY,11/18/2014,34.04,BUY,149.74
BABY,11/14/2014,33.715,SELL,150.04
BABY,9/18/2014,28.86,BUY,128.69
BABY,9/12/2014,28.84,SELL,128.95
BABY,9/2/2014,28.32,BUY,126.88
BABY,8/28/2014,28.24,SHORT,127.75
BABY,8/26/2014,27.54,BUY,125.08
BABY,7/31/2014,28.82,SELL,125.33
BABY,7/21/2014,25.34,BUY,110.42
BABY,7/15/2014,25.285,SHORT,111.1
BABY,7/10/2014,24.89,BUY,109.8
BABY,7/7/2014,25.732,SELL,110.02
BABY,6/30/2014,25.02,BUY,107.19
BABY,6/20/2014,25.82,SELL,107.4
BABY,6/5/2014,23.945,BUY,99.8
,,,,
BANF,5/26/2016,62.15,SELL,141.52
BANF,5/18/2016,60.7725,BUY,138.66
BANF,4/29/2016,62.44,SELL,138.94
BANF,4/26/2016,61.78,BUY,137.75
BANF,4/21/2016,58.8,SELL,138.03
BANF,4/11/2016,56.88,BUY,133.79
BANF,4/5/2016,56.65,SHORT,134.87
BANF,3/18/2016,58.5,BUY,139.83
BANF,3/15/2016,57.88,SELL,140.11
BANF,2/25/2016,55.06,BUY,133.55
BANF,2/18/2016,55,SELL,133.82
BANF,2/9/2016,54.9,BUY,133.84
BANF,2/4/2016,54.82,SELL,134.11
BANF,1/27/2016,52.396,BUY,128.44
BANF,1/22/2016,54.15,SHORT,124.91
BANF,1/20/2016,54.15,BUY,125.41
BANF,1/8/2016,56.59,SHORT,120.71
BANF,1/6/2016,57.315,BUY,122.75
BANF,12/31/2015,59.835,SHORT,118.26
BANF,12/23/2015,58.385,BUY,115.86
BANF,12/18/2015,58.78,SHORT,115.55
BANF,12/15/2015,58.87,BUY,116.19
BANF,12/1/2015,64.06,SELL,116.42
BANF,11/18/2015,62.94,BUY,114.61
BANF,11/12/2015,63.76,SELL,114.84
BANF,10/23/2015,63.277,BUY,114.2
BANF,10/13/2015,63.86,SELL,114.43
BANF,10/2/2015,62.67,BUY,112.52
BANF,9/28/2015,61.72,SELL,112.75
BANF,9/23/2015,61.53,BUY,112.63
